j, 0.000052, 0.015164, 5.976496, 3200000000, 500, 1, 5.996, 5.972, 100
j, 0.000121, 0.082919, 46.534710, 25600000000, 500, 1, 46.620, 46.574, 100
j, 0.000171, 0.149580, 91.207732, 50000000000, 500, 1, 91.360, 91.296, 100
j, 0.000399, 0.863934, 503.001066, 168750000000, 500, 1, 503.868, 503.600, 100
j, 0.000722, 0.055170, 11.664601, 4000000000, 500, 1, 11.724, 11.675, 1
j, 0.001492, 0.181443, 39.199155, 13500000000, 500, 1, 39.387, 39.214, 1
j, 0.002761, 0.412060, 92.942883, 32000000000, 500, 1, 93.365, 92.968, 1
j, 0.000063, 0.014988, 3.278065, 3200000000, 500, 2, 3.298, 6.557, 100
j, 0.000120, 0.062130, 24.129000, 25600000000, 500, 2, 24.194, 48.332, 100
j, 0.000188, 0.103759, 46.159853, 50000000000, 500, 2, 46.267, 92.474, 100
j, 0.000399, 0.476582, 228.425197, 168750000000, 500, 2, 228.905, 457.569, 100
j, 0.000762, 0.036345, 6.055092, 4000000000, 500, 2, 6.096, 12.102, 1
j, 0.001611, 0.118593, 20.012015, 13500000000, 500, 2, 20.138, 39.956, 1
j, 0.002814, 0.269556, 47.193716, 32000000000, 500, 2, 47.474, 94.140, 1
j, 0.000056, 0.013046, 1.709236, 3200000000, 500, 4, 1.725, 6.861, 100
j, 0.000131, 0.046817, 12.363024, 25600000000, 500, 4, 12.413, 49.609, 100
j, 0.000200, 0.075566, 23.568045, 50000000000, 500, 4, 23.647, 94.512, 100
j, 0.000374, 0.300082, 121.220385, 168750000000, 500, 4, 121.524, 485.861, 100
j, 0.000742, 0.027486, 3.234638, 4000000000, 500, 4, 3.267, 12.947, 1
j, 0.001537, 0.086506, 10.599702, 13500000000, 500, 4, 10.693, 42.393, 1
j, 0.002796, 0.199156, 24.977223, 32000000000, 500, 4, 25.187, 99.789, 1
j, 0.000052, 0.113278, 9.354135, 32000000000, 500, 8, 9.473, 75.548, 1000
j, 0.000045, 0.012621, 0.913191, 3200000000, 500, 8, 0.930, 7.378, 100
j, 0.000120, 0.039077, 6.582476, 25600000000, 500, 8, 6.624, 52.948, 100
j, 0.000187, 0.061970, 12.883965, 50000000000, 500, 8, 12.949, 103.518, 100
j, 0.000395, 0.217061, 68.185813, 168750000000, 500, 8, 68.407, 546.986, 100
j, 0.000711, 0.023289, 1.881438, 4000000000, 500, 8, 1.909, 15.083, 1
j, 0.001542, 0.071784, 6.259513, 13500000000, 500, 8, 6.338, 50.114, 1
j, 0.002805, 0.162658, 15.951280, 32000000000, 500, 8, 16.125, 127.191, 1
j, 0.000050, 0.114130, 5.870378, 32000000000, 500, 16, 5.987, 95.583, 1000
j, 0.000049, 0.012362, 0.592049, 3200000000, 500, 16, 0.607, 9.652, 100
j, 0.000135, 0.036646, 3.724026, 25600000000, 500, 16, 3.763, 60.129, 100
j, 0.000167, 0.055549, 6.657702, 50000000000, 500, 16, 6.716, 107.358, 100
j, 0.000389, 0.194610, 57.149443, 168750000000, 500, 16, 57.348, 917.249, 100
j, 0.000719, 0.022103, 1.510030, 4000000000, 500, 16, 1.537, 24.257, 1
j, 0.001616, 0.067213, 6.363076, 13500000000, 500, 16, 6.437, 94.284, 1
j, 0.002785, 0.152499, 16.204310, 32000000000, 500, 16, 16.368, 230.491, 1
j, 0.000050, 0.114749, 5.849688, 32000000000, 500, 24, 5.967, 142.938, 1000
j, 0.000060, 0.012893, 0.605490, 3200000000, 500, 24, 0.621, 14.823, 100
j, 0.000129, 0.036880, 2.651133, 25600000000, 500, 24, 2.691, 64.455, 100
j, 0.000178, 0.052664, 4.922976, 50000000000, 500, 24, 4.979, 119.347, 100
j, 0.000385, 0.177536, 42.335977, 168750000000, 500, 24, 42.517, 1019.527, 100
j, 0.000705, 0.021863, 1.738642, 4000000000, 500, 24, 1.765, 41.872, 1
j, 0.001646, 0.065046, 6.191680, 13500000000, 500, 24, 6.264, 146.336, 1
j, 0.002741, 0.146894, 13.927268, 32000000000, 500, 24, 14.085, 329.777, 1
