gs, 0.000009, 0.000012, 0.000308, 73000, 73
gs, 0.000009, 0.000020, 0.000767, 174528, 101
gs, 0.000007, 0.000037, 0.001662, 362208, 132
gs, 0.000007, 0.000053, 0.003250, 688128, 168
gs, 0.000013, 0.000076, 0.005857, 1207224, 207
gs, 0.000015, 0.000083, 0.007745, 1563852, 228
gs, 0.000018, 0.000096, 0.009985, 2008000, 251
gs, 0.000030, 0.000668, 0.312774, 57280000, 895
gs, 0.000051, 0.002237, 2.314656, 411264000, 1904
gs, 0.000079, 0.003370, 9.531004, 1670144000, 3262
gs, 0.000116, 0.003550, 28.533653, 4957000000, 4957
gs, 0.000174, 0.009510, 69.848198, 12059712000, 6979
gs, 0.000262, 0.014403, 149.493300, 25576824000, 9321
