j, 0.000011, 0.000018, 0.000327, 127000, 127
j, 0.000013, 0.000030, 0.000783, 300672, 174
j, 0.000010, 0.000052, 0.001556, 628376, 229
j, 0.000013, 0.000077, 0.002859, 1191936, 291
j, 0.000015, 0.000109, 0.004872, 2099520, 360
j, 0.000020, 0.000122, 0.006717, 2723023, 397
j, 0.000019, 0.000139, 0.008245, 3480000, 435
j, 0.000044, 0.001195, 0.233214, 99072000, 1548
j, 0.000073, 0.003633, 1.638603, 708048000, 3278
j, 0.000116, 0.004815, 6.529905, 2863616000, 5593
j, 0.000180, 0.007609, 19.373763, 8469000000, 8469
j, 0.000285, 0.013125, 55.639387, 20540736000, 11887
j, 0.000367, 0.018600, 127.257063, 43451240000, 15835
